Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Water Heater:WaterSystems:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Water:Facility [m3](Monthly),EnergyTransfer:Facility [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricityNet:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),PlantLoopHeatingDemand:Facility [J](Monthly),MainsWater:Facility [m3](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Source:Facility [J](Monthly),SO2:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),PM10:Facility [kg](Monthly),CO:Facility [kg](Monthly),CO2:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly)
 01/21  01:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,72000.0,0.0,72000.0
 01/21  02:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631103.0997893387,0.0,1631103.0997893387
 01/21  03:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,72000.0,0.0,72000.0
 01/21  04:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631098.545608203,0.0,1631098.545608203
 01/21  05:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631093.959207177,0.0,1631093.959207177
 01/21  06:00:00,18190896.523214538,0.0,0.0,0.0,1980019.3046400002,7920077.218560001,1631041.183541946,0.0,1631041.183541946
 01/21  07:00:00,26151282.024646454,7960385.50143191,0.0,0.0,1980019.3046400002,7920077.218560001,45359681.75787719,45287681.75787719,72000.0
 01/21  08:00:00,23202320.63392645,7960385.50143191,0.0,0.0,5940057.91392,7920077.218560001,54219840.575379096,52588613.80786706,1631226.7675120384
 01/21  09:00:00,43600732.98496645,7960385.50143191,0.0,0.0,17820173.74176,17820173.74176,26031929.344530728,24400625.896687593,1631303.447843132
 01/21  10:00:00,43600732.98496645,7960385.50143191,0.0,0.0,17820173.74176,17820173.74176,13049268.21260299,11417904.003526393,1631364.2090765974
 01/21  11:00:00,43605241.31000646,7960385.50143191,4508.325040015463,0.0,17820173.74176,17820173.74176,5688360.369775143,4056992.150762554,1631368.2190125901
 01/21  12:00:00,43600732.98496645,7960385.50143191,0.0,0.0,17820173.74176,17820173.74176,4492782.861974326,1301935.3690548893,3190847.4929194367
 01/21  13:00:00,41620713.68032645,7960385.50143191,0.0,0.0,17820173.74176,15840154.437120002,2978241.4069821336,1346888.8743221255,1631352.5326600077
 01/21  14:00:00,43636766.8786137,7960385.50143191,36033.89364725279,0.0,17820173.74176,17820173.74176,1631481.937746679,0.0,1631481.937746679
 01/21  15:00:00,43600732.98496645,7960385.50143191,0.0,0.0,17820173.74176,17820173.74176,1631205.1198731572,0.0,1631205.1198731572
 01/21  16:00:00,43600732.98496645,7960385.50143191,0.0,0.0,17820173.74176,17820173.74176,1631254.159959304,0.0,1631254.159959304
 01/21  17:00:00,46364332.98496645,7960385.50143191,0.0,0.0,17820173.74176,17820173.74176,3190790.986462413,0.0,3190790.986462413
 01/21  18:00:00,36051378.54784645,7960385.50143191,0.0,0.0,9900096.523200002,9900096.523200002,6682950.162926562,5051688.457223196,1631261.705703366
 01/21  19:00:00,30111320.633926444,7960385.50143191,0.0,0.0,5940057.91392,7920077.218560001,20902094.777434535,20830094.777434535,72000.0
 01/21  20:00:00,30111320.633926444,7960385.50143191,0.0,0.0,5940057.91392,7920077.218560001,28445917.826076034,26814711.673046768,1631206.1530292642
 01/21  21:00:00,28131301.32928645,7960385.50143191,0.0,0.0,3960038.6092800004,7920077.218560001,31324129.62299426,29692985.020421557,1631144.6025727054
 01/21  22:00:00,28131301.32928645,7960385.50143191,0.0,0.0,3960038.6092800004,7920077.218560001,32533436.031142093,30902324.896997318,1631111.134144776
 01/21  23:00:00,19563829.63201802,1372933.1088034767,0.0,0.0,1980019.3046400002,7920077.218560001,2525323.5348625216,2453323.5348625216,72000.0
 01/21  24:00:00,18449007.8788977,1248121.0080031608,0.0,0.0,990009.6523200001,7920077.218560001,4138552.273415344,2507452.070586739,1631100.2028286043
 01/22  01:00:00,18761038.13089849,1560151.260003951,0.0,0.0,990009.6523200001,7920077.218560001,5214725.461467121,3583608.6139355763,1631116.847531544
 01/22  02:00:00,18449007.8788977,1248121.0080031608,0.0,0.0,990009.6523200001,7920077.218560001,3457708.221371032,3385708.221371032,72000.0
 01/22  03:00:00,18761038.13089849,1560151.260003951,0.0,0.0,990009.6523200001,7920077.218560001,5922088.408219228,4290997.115134133,1631091.293085096
 01/22  04:00:00,18449007.8788977,1248121.0080031608,0.0,0.0,990009.6523200001,7920077.218560001,5702103.358083084,4070992.352544015,1631111.0055390692
 01/22  05:00:00,18761038.13089849,1560151.260003951,0.0,0.0,990009.6523200001,7920077.218560001,5114395.19091801,5042395.19091801,72000.0
