Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Water Heater:WaterSystems:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Water:Facility [m3](Monthly),EnergyTransfer:Facility [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricityNet:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),PlantLoopHeatingDemand:Facility [J](Monthly),MainsWater:Facility [m3](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Source:Facility [J](Monthly),SO2:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),PM10:Facility [kg](Monthly),CO:Facility [kg](Monthly),CO2:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly)
 01/21  01:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,72000.0,0.0,72000.0
 01/21  02:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631103.0997893387,0.0,1631103.0997893387
 01/21  03:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,72000.0,0.0,72000.0
 01/21  04:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631098.545608203,0.0,1631098.545608203
 01/21  05:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631093.959207177,0.0,1631093.959207177
 01/21  06:00:00,18190896.523214538,0.0,0.0,0.0,1980019.3046400002,7920077.218560001,1631041.183541946,0.0,1631041.183541946
 01/21  07:00:00,26151282.024646454,7960385.50143191,0.0,0.0,1980019.3046400002,7920077.218560001,45359681.75787719,45287681.75787719,72000.0
 01/21  08:00:00,23202320.63392645,7960385.50143191,0.0,0.0,5940057.91392,7920077.218560001,54219840.575379096,52588613.80786706,1631226.7675120384
 01/21  09:00:00,43600732.98496645,7960385.50143191,0.0,0.0,17820173.74176,17820173.74176,23560091.828581214,21928788.381149754,1631303.447431463
 01/21  10:00:00,43600732.98496645,7960385.50143191,0.0,0.0,17820173.74176,17820173.74176,11458780.833863396,9827416.62445958,1631364.2094038173
 01/21  11:00:00,43605228.44086271,7960385.50143191,4495.455896255295,0.0,17820173.74176,17820173.74176,5198372.159968998,3567003.9406259647,1631368.219343033
 01/21  12:00:00,43600732.98496645,7960385.50143191,0.0,0.0,17820173.74176,17820173.74176,4535649.413746542,1344801.9201259313,3190847.493620611
