run_id,season,controller_version,callback_index,simulation_time,sim_month,sim_day,sim_hour,sim_minute,outdoor_drybulb_c,outdoor_rh_pct,core_zn_temp,core_zn_co2,core_zn_pmv,core_zn_occ,occupancy_source,perimeter_zn_1_temp,perimeter_zn_2_temp,perimeter_zn_3_temp,perimeter_zn_4_temp,electricity_meter_joules,electricity_meter_kwh,facility_demand_kw,gas_meter_joules,gas_meter_kwh_eq,total_site_energy_kwh_eq,hvac_mode
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,1,Day 15/05 00:10,5,15,0,10,6.75,78.2,21.58,425.4,-1.44,0.0,ENERGYPLUS,21.08,21.19,21.02,21.91,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,DEADBAND
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,2,Day 15/05 00:20,5,15,0,20,7.40,73.3,21.59,423.9,-1.45,0.0,ENERGYPLUS,21.09,21.21,21.03,21.92,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,DEADBAND
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,3,Day 15/05 00:30,5,15,0,30,8.05,68.5,21.61,422.4,-1.45,0.0,ENERGYPLUS,21.12,21.23,21.05,21.93,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,DEADBAND
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,4,Day 15/05 00:40,5,15,0,40,8.70,63.7,21.63,421.1,-1.45,0.0,ENERGYPLUS,21.15,21.25,21.08,21.95,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,DEADBAND
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,5,Day 15/05 00:50,5,15,0,50,9.35,58.8,21.66,419.8,-1.44,0.0,ENERGYPLUS,21.18,21.28,21.11,21.98,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,DEADBAND
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,6,Day 15/05 01:05,5,15,1,5,10.00,54.0,21.68,418.6,-1.44,0.0,ENERGYPLUS,21.21,21.30,21.14,22.00,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,DEADBAND
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,7,Day 15/05 01:10,5,15,1,10,10.00,54.5,21.69,417.5,-1.45,0.0,ENERGYPLUS,21.22,21.30,21.15,22.00,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,DEADBAND
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,8,Day 15/05 01:20,5,15,1,20,10.00,55.0,21.68,416.4,-1.45,0.0,ENERGYPLUS,21.21,21.29,21.14,21.99,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,DEADBAND
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,9,Day 15/05 01:30,5,15,1,30,10.00,55.5,21.67,415.4,-1.46,0.0,ENERGYPLUS,21.20,21.27,21.13,21.97,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,DEADBAND
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,10,Day 15/05 01:40,5,15,1,40,10.00,56.0,21.66,414.5,-1.46,0.0,ENERGYPLUS,21.18,21.26,21.12,21.95,1485014.48,0.4125,1.65,1571080.87,0.4364,0.8489,DEADBAND
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,11,Day 15/05 01:50,5,15,1,50,10.00,56.5,21.64,413.6,-1.47,0.0,ENERGYPLUS,21.16,21.24,21.11,21.93,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,DEADBAND
shoulder-ai-v2-1785085373,shoulder,policy_iter1_frozen,12,Day 15/05 02:00,5,15,2,0,10.00,57.0,21.63,412.8,-1.47,0.0,ENERGYPLUS,21.15,21.22,21.09,21.91,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,DEADBAND
