Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Water Heater:WaterSystems:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Water:Facility [m3](Monthly),EnergyTransfer:Facility [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricityNet:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),PlantLoopHeatingDemand:Facility [J](Monthly),MainsWater:Facility [m3](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Source:Facility [J](Monthly),SO2:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),PM10:Facility [kg](Monthly),CO:Facility [kg](Monthly),CO2:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly)
 05/15  01:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,72000.0,0.0,72000.0
 05/15  02:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631080.8656192261,0.0,1631080.8656192261
 05/15  03:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,72000.0,0.0,72000.0
 05/15  04:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631060.9486387407,0.0,1631060.9486387407
 05/15  05:00:00,14045496.523214538,0.0,0.0,0.0,1980019.3046400002,7920077.218560001,1631078.0409207845,0.0,1631078.0409207845
 05/15  06:00:00,18021544.489343148,7960385.50143191,161062.46469669757,0.0,1980019.3046400002,7920077.218560001,367164.2372158539,295164.2372158539,72000.0
 05/15  07:00:00,21820520.63392645,7960385.50143191,0.0,0.0,5940057.91392,7920077.218560001,2868304.6913412577,1237134.886329519,1631169.8050117383
 05/15  08:00:00,43714722.029475324,7960385.50143191,113989.04450887861,0.0,17820173.74176,17820173.74176,1725772.3360485656,94482.74730484604,1631289.5887437195
 05/15  09:00:00,44013949.09869328,7960385.50143191,413216.1137268347,0.0,17820173.74176,17820173.74176,1631353.9262478205,0.0,1631353.9262478205
 05/15  10:00:00,44154006.85643163,7960385.50143191,553273.87146518,0.0,17820173.74176,17820173.74176,1631358.4848295238,0.0,1631358.4848295238
 05/15  11:00:00,44672599.7179598,7960385.50143191,1071866.7329933532,0.0,17820173.74176,17820173.74176,1631427.6141611717,0.0,1631427.6141611717
 05/15  12:00:00,42674514.01006415,7960385.50143191,1053800.3297377,0.0,17820173.74176,15840154.437120002,3190895.161147613,0.0,3190895.161147613
 05/15  13:00:00,45649686.84247992,7960385.50143191,2048953.857513478,0.0,17820173.74176,17820173.74176,1631426.6096787085,0.0,1631426.6096787085
 05/15  14:00:00,45873796.250111304,7960385.50143191,2273063.265144853,0.0,17820173.74176,17820173.74176,1631285.6040688506,0.0,1631285.6040688506
